source,target
AlfredBosch,jordinasb85
HiginiaRoig,jordinasb85
Esquerra_ERC,jordinasb85
omnium,jordinasb85
jordinasb85,jordievole
jordinasb85,HiginiaRoig
jordinasb85,3gerardpique
jordinasb85,assemblea
jordinasb85,antonibassas
jordinasb85,omnium
robertopiqueras,instagram
AlfredBosch,subramon1
subramon1,Esquerra_ERC
subramon1,jordievole
subramon1,AlfredBosch
subramon1,assemblea
subramon1,ForcadellCarme
subramon1,antonibassas
subramon1,HiginiaRoig
subramon1,Buenafuente
subramon1,ristomejide
subramon1,Carles5puyol
subramon1,andresiniesta8
subramon1,3gerardpique
subramon1,XSalaimartin
gerard__89,jordievole
Esquerra_ERC,edmon_bosch
AlfredBosch,edmon_bosch
assemblea,edmon_bosch
edmon_bosch,assemblea
edmon_bosch,XSalaimartin
edmon_bosch,omnium
Esquerra_ERC,jacobiteabroad
jacobiteabroad,andresiniesta8
jacobiteabroad,Buenafuente
jacobiteabroad,XSalaimartin
jacobiteabroad,ristomejide
jacobiteabroad,Carles5puyol
jacobiteabroad,3gerardpique
Esquerra_ERC,miaalberti
AlfredBosch,miaalberti
miaalberti,ristomejide
miaalberti,instagram
miaalberti,Esquerra_ERC
miaalberti,assemblea
miaalberti,ForcadellCarme
miaalberti,antonibassas
miaalberti,AlfredBosch
miaalberti,jordievole
miaalberti,APMTV3
Esquerra_ERC,merymore_
merymore_,APMTV3
merymore_,ristomejide
merymore_,instagram
merymore_,3gerardpique
merymore_,andresiniesta8
merymore_,Carles5puyol
paula_martcos,instagram
assemblea,albujawladimir
albujawladimir,instagram
albujawladimir,ForcadellCarme
albujawladimir,Buenafuente
albujawladimir,assemblea
albujawladimir,omnium
walkaway,ristomejide
walkaway,Buenafuente
didito99,Carles5puyol
didito99,3gerardpique
didito99,andresiniesta8
Xavier_rcde,3gerardpique
Xavier_rcde,ristomejide
Esquerra_ERC,judithyalka
judithyalka,instagram
judithyalka,jordievole
judithyalka,3gerardpique
judithyalka,ristomejide
judithyalka,Buenafuente
judithyalka,APMTV3
xramonrivera,instagram
xramonrivera,jordievole
xramonrivera,ristomejide
Esquerra_ERC,MaxCasas5
MaxCasas5,3gerardpique
MaxCasas5,antonibassas
MaxCasas5,XSalaimartin
MaxCasas5,Carles5puyol
MaxCasas5,andresiniesta8
APMTV3,gesma1983
gesma1983,ForcadellCarme
gesma1983,HiginiaRoig
gesma1983,jordievole
gesma1983,ristomejide
gesma1983,Carles5puyol
gesma1983,APMTV3
assemblea,GemmaLarruy
GemmaLarruy,jordievole
GemmaLarruy,ForcadellCarme
GemmaLarruy,Esquerra_ERC
GemmaLarruy,assemblea
GemmaLarruy,omnium
GemmaLarruy,instagram
GemmaLarruy,ristomejide
GemmaLarruy,APMTV3
GemmaLarruy,andresiniesta8
GemmaLarruy,3gerardpique
GemmaLarruy,Carles5puyol
Esquerra_ERC,CarlesVidal
assemblea,CarlesVidal
omnium,CarlesVidal
APMTV3,CarlesVidal
CarlesVidal,AlfredBosch
CarlesVidal,HiginiaRoig
CarlesVidal,Esquerra_ERC
CarlesVidal,ForcadellCarme
CarlesVidal,assemblea
CarlesVidal,omnium
CarlesVidal,XSalaimartin
CarlesVidal,APMTV3
CarlesVidal,jordievole
CarlesVidal,antonibassas
CarlesVidal,Buenafuente
CarlesVidal,3gerardpique
CarlesVidal,Carles5puyol
CarlesVidal,andresiniesta8
AlfredBosch,daddordaddor
Esquerra_ERC,daddordaddor
daddordaddor,HiginiaRoig
daddordaddor,XSalaimartin
daddordaddor,ForcadellCarme
daddordaddor,AlfredBosch
daddordaddor,omnium
daddordaddor,assemblea
daddordaddor,Esquerra_ERC
daddordaddor,antonibassas
IlianaCapllonch,instagram
IlianaCapllonch,jordievole
IlianaCapllonch,Buenafuente
angelagarcia92,instagram
angelagarcia92,ristomejide
angelagarcia92,Buenafuente
angelagarcia92,3gerardpique
angelagarcia92,Carles5puyol
Kli_fes,Carles5puyol
Kli_fes,3gerardpique
Kli_fes,ristomejide
Kli_fes,instagram
LauraaLlop,HiginiaRoig
LauraaLlop,Esquerra_ERC
LauraaLlop,omnium
LauraaLlop,ForcadellCarme
LauraaLlop,antonibassas
LauraaLlop,APMTV3
LauraaLlop,assemblea
LauraaLlop,3gerardpique
LauraaLlop,XSalaimartin
MedusaCultura,NachoSanahuja
MedusaCultura,ristomejide
MedusaCultura,jordievole
MedusaCultura,instagram
MedusaCultura,XSalaimartin
MedusaCultura,HiginiaRoig
MedusaCultura,Buenafuente
MedusaCultura,antonibassas
Esquerra_ERC,albert_sanju
albert_sanju,Esquerra_ERC
albert_sanju,AlfredBosch
albert_sanju,HiginiaRoig
albert_sanju,assemblea
albert_sanju,APMTV3
albert_sanju,instagram
albert_sanju,jordievole
albert_sanju,andresiniesta8
albert_sanju,3gerardpique
albert_sanju,Carles5puyol
albert_sanju,antonibassas
llavinarp,jordievole
llavinarp,instagram
llavinarp,HiginiaRoig
llavinarp,andresiniesta8
llavinarp,3gerardpique
llavinarp,ristomejide
llavinarp,Carles5puyol
llavinarp,Buenafuente
llavinarp,APMTV3
AlfredBosch,itsanneta
Esquerra_ERC,itsanneta
itsanneta,omnium
itsanneta,antonibassas
itsanneta,AlfredBosch
itsanneta,XSalaimartin
itsanneta,Esquerra_ERC
itsanneta,ForcadellCarme
itsanneta,assemblea
assemblea,janinavilana
APMTV3,janinavilana
janinavilana,HiginiaRoig
janinavilana,ForcadellCarme
janinavilana,assemblea
janinavilana,XSalaimartin
janinavilana,antonibassas
janinavilana,APMTV3
elcapo_vcf,3gerardpique
ForcadellCarme,NachoSanahuja
MedusaCultura,NachoSanahuja
HiginiaRoig,NachoSanahuja
NachoSanahuja,ForcadellCarme
NachoSanahuja,HiginiaRoig
APMTV3,isaacguila
assemblea,isaacguila
AlfredBosch,isaacguila
omnium,isaacguila
Esquerra_ERC,isaacguila
isaacguila,ristomejide
isaacguila,ForcadellCarme
isaacguila,HiginiaRoig
isaacguila,assemblea
isaacguila,instagram
isaacguila,AlfredBosch
isaacguila,omnium
isaacguila,XSalaimartin
isaacguila,jordievole
isaacguila,Esquerra_ERC
isaacguila,andresiniesta8
isaacguila,3gerardpique
isaacguila,Carles5puyol
isaacguila,APMTV3
isaacguila,antonibassas
isaacguila,Buenafuente
Motilleta_,instagram
MartaBascu,instagram
MartaBascu,ristomejide
miquel57,jordievole
miquel57,Buenafuente
miquel57,ForcadellCarme
miquel57,AlfredBosch
miquel57,Esquerra_ERC
miquel57,HiginiaRoig
miquel57,omnium
miquel57,assemblea
miquel57,XSalaimartin
miquel57,antonibassas
miquel57,andresiniesta8
jaumefvidal,ForcadellCarme
jaumefvidal,HiginiaRoig
jaumefvidal,instagram
jaumefvidal,Buenafuente
jaumefvidal,Carles5puyol
jaumefvidal,ristomejide
jaumefvidal,andresiniesta8
jaumefvidal,XSalaimartin
jaumefvidal,antonibassas
jaumefvidal,jordievole
jaumefvidal,3gerardpique
StefiQuilez7,Carles5puyol
StefiQuilez7,3gerardpique
StefiQuilez7,Buenafuente
StefiQuilez7,andresiniesta8
TuiteroDelSur,ristomejide
TuiteroDelSur,3gerardpique
TuiteroDelSur,Carles5puyol
TuiteroDelSur,andresiniesta8
Bartro10,instagram
Bartro10,ForcadellCarme
Bartro10,omnium
Bartro10,XSalaimartin
Bartro10,andresiniesta8
Bartro10,ristomejide
Bartro10,antonibassas
Bartro10,Carles5puyol
Bartro10,3gerardpique
